cycle,race,state,seat,candidate_name_DEM,candidate_name_REP,dem_votes,rep_votes,dem_incumbent,rep_incumbent,prev_seat
2018,House,Alabama,District 1,Robert Kennedy Jr.,Bradley Byrne,89226,153228,n,y,rep
2018,House,Alabama,District 2,Tabitha Isner,Martha Roby,86931,138879,n,y,rep
2018,House,Alabama,District 3,Mallory Hagan,Mike Rogers,83996,147770,n,y,rep
2018,House,Alabama,District 4,Lee Auman,Robert Aderholt,46492,184255,n,y,rep
2018,House,Alabama,District 5,Peter Joffrion,Mo Brooks,101388,159063,n,y,rep
2018,House,Alabama,District 6,Danner Kline,Gary Palmer,85644,192542,n,y,rep
2018,House,Alabama,District 7,Terri Sewell,-,185010,0,y,n,dem
2018,House,Alaska,District 1,Alyse S. Galvin,Don Young,131199,149779,n,y,rep
2018,House,Arizona,District 1,Tom O'Halleran,Wendy Rogers,143240,122784,y,n,dem
2018,House,Arizona,District 2,Ann Kirkpatrick,Lea Marquez Peterson,161000,133083,n,n,rep
2018,House,Arizona,District 3,Raul Grijalva,Nicolas Pierson,114650,64868,y,n,dem
2018,House,Arizona,District 4,David Brill,Paul Gosar,84521,188842,n,y,rep
2018,House,Arizona,District 5,Joan Greene,Andy Biggs,127027,186037,n,y,rep
2018,House,Arizona,District 6,Anita Malik,David Schweikert,140559,173140,n,y,rep
2018,House,Arizona,District 7,Ruben Gallego,-,113044,0,y,n,dem
2018,House,Arizona,District 8,Hiral Tipirneni,Debbie Lesko,135569,168835,n,y,rep
2018,House,Arizona,District 9,Greg Stanton,Steve Ferrara,159583,101662,n,n,dem
2018,House,Arkansas,District 1,Chintan Desai,Rick Crawford,57907,138757,n,y,rep
2018,House,Arkansas,District 2,Clarke Tucker,French Hill,116135,132125,n,y,rep
2018,House,Arkansas,District 3,Joshua Mahony,Steve Womack,74952,148717,n,y,rep
2018,House,Arkansas,District 4,Hayden Shamel,Bruce Westerman,63984,136740,n,y,rep
2018,House,California,District 1,Audrey Denney,Doug LaMalfa,131548,160046,n,y,rep
2018,House,California,District 2,Jared Huffman,Dale K. Mensing,243081,72576,y,n,dem
2018,House,California,District 3,John Garamendi,Charlie Schaupp,134875,97376,y,n,dem
2018,House,California,District 4,Jessica Morse,Tom McClintock,156253,184401,n,y,rep
2018,House,California,District 5,Mike Thompson,-,205860,0,y,n,dem
2018,House,California,District 6,Doris Matsui,-,162411,0,y,n,dem
2018,House,California,District 7,Ami Bera,Andrew Gant,155016,126601,y,n,dem
2018,House,California,District 8,-,Paul Cook,0,102415,n,y,rep
2018,House,California,District 9,Jerry McNerney,Marla Livengood,113414,87349,y,n,dem
2018,House,California,District 10,Josh Harder,Jeff Denham,115945,105955,n,y,rep
2018,House,California,District 11,Mark DeSaulnier,John Fitzgerald,204369,71312,y,n,dem
2018,House,California,District 12,Nancy Pelosi,Lisa Remmer,275292,41780,y,n,dem
2018,House,California,District 13,Barbara Lee,-,260580,0,y,n,dem
2018,House,California,District 14,Jackie Speier,Cristina Osmena,211384,55439,y,n,dem
2018,House,California,District 15,Eric Swalwell,Rudy Peters,177989,65940,y,n,dem
2018,House,California,District 16,Jim Costa,Elizabeth Heng,82266,60693,y,n,dem
2018,House,California,District 17,Ro Khanna,Ron Cohen,159105,52057,y,n,dem
2018,House,California,District 18,Anna Eshoo,Christine Russell,225142,77096,y,n,dem
2018,House,California,District 19,Zoe Lofgren,Justin James Aguilera,162496,57823,y,n,dem
2018,House,California,District 20,Jimmy Panetta,-,183677,0,y,n,dem
2018,House,California,District 21,TJ Cox,David Valadao,57239,56377,n,y,rep
2018,House,California,District 22,Andrew Janz,Devin Nunes,105136,117243,n,y,rep
2018,House,California,District 23,Tatiana Matta,Kevin McCarthy,74661,131113,n,y,rep
2018,House,California,District 24,Salud Carbajal,Justin Fareed,166550,117881,y,n,dem
2018,House,California,District 25,Katie Hill,Steve Knight,133209,111813,n,y,rep
2018,House,California,District 26,Julia Brownley,Antonio Sabato Jr.,158216,97210,y,n,dem
2018,House,California,District 27,Judy Chu,-,160504,0,y,n,dem
2018,House,California,District 28,Adam Schiff,Johnny Nalbandian,196662,54272,y,n,dem
2018,House,California,District 29,Tony Cardenas,Benito Benny Bernal,124697,29995,y,n,dem
2018,House,California,District 30,Brad Sherman,Mark Reed,191573,69420,y,n,dem
2018,House,California,District 31,Pete Aguilar,Sean Flynn,110143,77352,y,n,dem
2018,House,California,District 32,Grace Napolitano,Joshua M. Scott,121759,55272,y,n,dem
2018,House,California,District 33,Ted Lieu,Kenneth Wright,219091,93769,y,n,dem
2018,House,California,District 34,Jimmy Gomez,-,110195,0,y,n,dem
2018,House,California,District 35,Norma Torres,Christian Valiente,103420,45604,y,n,dem
2018,House,California,District 36,Raul Ruiz,Kimberlin Brown Pelzer,122169,84839,y,n,dem
2018,House,California,District 37,Karen Bass,Ron J. Bassilian,210555,25823,y,n,dem
2018,House,California,District 38,Linda Sanchez,Ryan Downing,139188,62968,y,n,dem
2018,House,California,District 39,Gil Cisneros,Young Kim,126002,118391,n,n,rep
2018,House,California,District 40,Lucille Roybal-Allard,-,93938,0,y,n,dem
2018,House,California,District 41,Mark Takano,Aja Smith,108227,58021,y,n,dem
2018,House,California,District 42,Julia C. Peacock,Ken Calvert,100892,131040,n,y,rep
2018,House,California,District 43,Maxine Waters,Omar Navarro,152272,43780,y,n,dem
2018,House,California,District 44,Nanette Barragan,-,97944,0,y,n,dem
2018,House,California,District 45,Katie Porter,Mimi Walters,158906,146383,n,y,rep
2018,House,California,District 46,Lou Correa,Russell Rene Lambert,102278,45638,y,n,dem
2018,House,California,District 47,Alan Lowenthal,John Briscoe,143354,77682,y,n,dem
2018,House,California,District 48,Harley Rouda,Dana Rohrabacher,157837,136899,n,y,rep
2018,House,California,District 49,Mike Levin,Diane Harkey,166453,128577,n,n,rep
2018,House,California,District 50,Ammar Campa-Najjar,Duncan D. Hunter,125448,134362,n,y,rep
2018,House,California,District 51,Juan Vargas,Juan M. Hidalgo Jr.,109527,44301,y,n,dem
2018,House,California,District 52,Scott Peters,Omar Qudrat,188992,107015,y,n,dem
2018,House,California,District 53,Susan Davis,Morgan Murtaugh,185667,83127,y,n,dem
2018,House,Colorado,District 1,Diana DeGette,Casper Stockham,272886,85207,y,n,dem
2018,House,Colorado,District 2,Joe Neguse,Peter Yu,259608,144901,n,n,dem
2018,House,Colorado,District 3,Diane Mitsch Bush,Scott Tipton,146426,173205,n,y,rep
2018,House,Colorado,District 4,Karen McCormick,Ken Buck,145544,224038,n,y,rep
2018,House,Colorado,District 5,Stephany Rose Spaulding,Doug Lamborn,126848,184002,n,y,rep
2018,House,Colorado,District 6,Jason Crow,Mike Coffman,187639,148685,n,y,rep
2018,House,Colorado,District 7,Ed Perlmutter,Mark Barrington,204260,119734,y,n,dem
2018,House,Connecticut,District 1,John Larson,Jennifer Nye,175087,96024,y,n,dem
2018,House,Connecticut,District 2,Joe Courtney,Dan Postemski,179731,102483,y,n,dem
2018,House,Connecticut,District 3,Rosa DeLauro,Angel Cadena,174572,95667,y,n,dem
2018,House,Connecticut,District 4,Jim Himes,Harry Arora,168726,106921,y,n,dem
2018,House,Connecticut,District 5,Jahana Hayes,Manny Santos,151225,119426,n,n,dem
2018,House,Delaware,District 1,Lisa Blunt Rochester,Scott Walker,227353,125384,y,n,dem
2018,House,Florida,District 1,Jennifer M. Zimmerman,Matt Gaetz,106199,216189,n,y,rep
2018,House,Florida,District 2,Bob Rackleff,Neal Dunn,96233,199335,n,y,rep
2018,House,Florida,District 3,Yvonne Hayes Hinson,Ted Yoho,129880,176616,n,y,rep
2018,House,Florida,District 4,Ges Selmont,John Rutherford,123351,248420,n,y,rep
2018,House,Florida,District 5,Al Lawson,Virginia Fuller,180527,89799,y,n,dem
2018,House,Florida,District 6,Nancy Soderberg,Michael Waltz,145758,187891,n,n,rep
2018,House,Florida,District 7,Stephanie Murphy,Mike Miller,183113,134285,y,n,dem
2018,House,Florida,District 8,Sanjay Patel,Bill Posey,142415,218112,n,y,rep
2018,House,Florida,District 9,Darren Soto,Wayne Liebnitzky,172172,124565,y,n,dem
2018,House,Florida,District 10,Val Demings,-,73601,0,y,n,dem
2018,House,Florida,District 11,Dana Cottrell,Daniel Webster,128053,239395,n,y,rep
2018,House,Florida,District 12,Chris Hunter,Gus Bilirakis,132844,194564,n,y,rep
2018,House,Florida,District 13,Charlie Crist,George Buck,182717,134254,y,n,dem
2018,House,Florida,District 14,Kathy Castor,-,1,0,y,n,dem
2018,House,Florida,District 15,Kristen Carlson,Ross Spano,134132,151380,n,n,rep
2018,House,Florida,District 16,David Shapiro,Vern Buchanan,164463,197483,n,y,rep
2018,House,Florida,District 17,Allen Ellison,Greg Steube,117194,193326,n,n,rep
2018,House,Florida,District 18,Lauren Baer,Brian Mast,156454,185905,n,y,rep
2018,House,Florida,District 19,David Holden,Francis Rooney,128106,211465,n,y,rep
2018,House,Florida,District 20,Alcee Hastings,-,202659,0,y,n,dem
2018,House,Florida,District 21,Lois Frankel,-,1,0,y,n,dem
2018,House,Florida,District 22,Ted Deutch,Nicolas Kimaz,184634,113049,y,n,dem
2018,House,Florida,District 23,Debbie Wasserman Schultz,Joe Kaufman,161611,99446,y,n,dem
2018,House,Florida,District 24,Frederica Wilson,-,65894,0,y,n,dem
2018,House,Florida,District 25,Mary Barzee Flores,Mario Diaz-Balart,84173,128672,n,y,rep
2018,House,Florida,District 26,Debbie Mucarsel-Powell,Carlos Curbelo,119797,115678,n,y,rep
2018,House,Florida,District 27,Donna Shalala,Maria Elvira Salazar,130743,115588,n,n,rep
2018,House,Georgia,District 1,Lisa Ring,Buddy Carter,105942,144741,n,y,rep
2018,House,Georgia,District 2,Sanford Bishop,Herman West,136699,92472,y,n,dem
2018,House,Georgia,District 3,Chuck Enderlin,Drew Ferguson,101010,191996,n,y,rep
2018,House,Georgia,District 4,Hank Johnson,Joe Profit,227717,61092,y,n,dem
2018,House,Georgia,District 5,John Lewis,-,275406,0,y,n,dem
2018,House,Georgia,District 6,Lucy McBath,Karen Handel,160139,156875,n,y,rep
2018,House,Georgia,District 7,Carolyn Bourdeaux,Rob Woodall,140010,140443,n,y,rep
2018,House,Georgia,District 8,-,Austin Scott,0,198152,n,y,rep
2018,House,Georgia,District 9,Josh McCall,Doug Collins,57912,224661,n,y,rep
2018,House,Georgia,District 10,Tabitha Johnson-Green,Jody Hice,112339,190396,n,y,rep
2018,House,Georgia,District 11,Flynn Broady,Barry Loudermilk,118653,191887,n,y,rep
2018,House,Georgia,District 12,Francys Johnson,Rick W. Allen,101503,148986,n,y,rep
2018,House,Georgia,District 13,David Scott,David Callahan,223157,69760,y,n,dem
2018,House,Georgia,District 14,Steven Lamar Foster,Tom Graves,53981,175743,n,y,rep
2018,House,Hawaii,District 1,Ed Case,Campbell Cavasso,134650,42498,n,n,dem
2018,House,Hawaii,District 2,Tulsi Gabbard,Brian Evans,153271,44850,y,n,dem
2018,House,Idaho,District 1,Cristina McNeil,Russ Fulcher,96932,197167,n,n,rep
2018,House,Idaho,District 2,Aaron Swisher,Mike Simpson,110381,170274,n,y,rep
2018,House,Illinois,District 1,Bobby Rush,"Jimmy Lee Tillman, II",189560,50960,y,n,dem
2018,House,Illinois,District 2,Robin Kelly,David Merkle,190684,44567,y,n,dem
2018,House,Illinois,District 3,Dan Lipinski,Arthur Jones,163053,57885,y,n,dem
2018,House,Illinois,District 4,"Jesus ""Chuy"" Garcia",Mark Lorch,143895,22294,n,n,dem
2018,House,Illinois,District 5,Mike Quigley,Tom Hanson,213992,65134,y,n,dem
2018,House,Illinois,District 6,Sean Casten,Peter Roskam,169001,146445,n,y,rep
2018,House,Illinois,District 7,Danny K. Davis,Craig Cameron,215746,30497,y,n,dem
2018,House,Illinois,District 8,Raja Krishnamoorthi,"Jitendra ""JD"" Diganvker",130054,67073,y,n,dem
2018,House,Illinois,District 9,Jan Schakowsky,John Elleson,213368,76983,y,n,dem
2018,House,Illinois,District 10,Brad Schneider,Douglas Bennett,156540,82124,y,n,dem
2018,House,Illinois,District 11,Bill Foster,Nick Stella,145407,82358,y,n,dem
2018,House,Illinois,District 12,Brendan Kelly,Mike Bost,118724,134884,n,y,rep
2018,House,Illinois,District 13,Betsy Dirksen Londrigan,Rodney Davis,134458,136516,n,y,rep
2018,House,Illinois,District 14,Lauren Underwood,Randy Hultgren,156035,141164,n,y,rep
2018,House,Illinois,District 15,Kevin Gaither,John Shimkus,74309,181294,n,y,rep
2018,House,Illinois,District 16,Sara Dady,Adam Kinzinger,104569,151254,n,y,rep
2018,House,Illinois,District 17,Cheri Bustos,Bill Fawell,142659,87090,y,n,dem
2018,House,Illinois,District 18,Junius Rodriguez,Darin LaHood,95486,195927,n,y,rep
2018,House,Indiana,District 1,Pete Visclosky,Mark Leyva,159611,85594,y,n,dem
2018,House,Indiana,District 2,Mel Hall,Jacki Walorski,103363,125499,n,y,rep
2018,House,Indiana,District 3,Courtney Tritch,Jim Banks,86610,158927,n,y,rep
2018,House,Indiana,District 4,Tobi Beck,James Baird,87824,156539,n,n,rep
2018,House,Indiana,District 5,Dee Thornton,Susan Brooks,137142,180035,n,y,rep
2018,House,Indiana,District 6,Jeannine Lee Lake,Greg Pence,79430,154260,n,n,rep
2018,House,Indiana,District 7,Andre Carson,Wayne Harmon,141139,76457,y,n,dem
2018,House,Indiana,District 8,William Tanoos,Larry Bucshon,86895,157396,n,y,rep
2018,House,Indiana,District 9,Liz Watson,Trey Hollingsworth,118090,153271,n,y,rep
2018,House,Iowa,District 1,Abby Finkenauer,Rod Blum,170342,153442,n,y,rep
2018,House,Iowa,District 2,Dave Loebsack,Christopher Peters,171446,133287,y,n,dem
2018,House,Iowa,District 3,Cindy Axne,David Young,175642,167933,n,y,rep
2018,House,Iowa,District 4,J.D. Scholten,Steve King,147246,157676,n,y,rep
2018,House,Kansas,District 1,Alan LaPolice,Roger Marshall,71558,153082,n,y,rep
2018,House,Kansas,District 2,Paul Davis,Steve Watkins,123859,126098,n,n,rep
2018,House,Kansas,District 3,Sharice Davids,Kevin Yoder,170518,139762,n,y,rep
2018,House,Kansas,District 4,James Thompson,Ron Estes,98445,144248,n,y,rep
2018,House,Kentucky,District 1,Paul Walker,James Comer,78849,172167,n,y,rep
2018,House,Kentucky,District 2,Hank Linderman,Brett Guthrie,79964,171700,n,y,rep
2018,House,Kentucky,District 3,John Yarmuth,Vickie Yates Glisson,173002,101930,y,n,dem
2018,House,Kentucky,District 4,Seth Hall,Thomas Massie,90536,162946,n,y,rep
2018,House,Kentucky,District 5,Kenneth Stepp,Hal Rogers,45890,172093,n,y,rep
2018,House,Kentucky,District 6,Amy McGrath,Andy Barr,144736,154468,n,y,rep
2018,House,Louisiana,District 1,Tammy Savoie,Steve Scalise,44262,192526,n,y,rep
2018,House,Louisiana,District 2,Cedric Richmond,-,190182,0,y,n,dem
2018,House,Louisiana,District 3,Mimi Methvin,Clay Higgins,43729,136876,n,y,rep
2018,House,Louisiana,District 4,Ryan Trundle,Mike Johnson,72934,139326,n,y,rep
2018,House,Louisiana,District 5,Jessee Carlton Fleenor,Ralph Abraham,67118,149018,n,y,rep
2018,House,Louisiana,District 6,Justin DeWitt,Garret Graves,55089,186553,n,y,rep
2018,House,Maine,District 1,Chellie Pingree,Mark Holbrook,201195,111188,y,n,dem
2018,House,Maine,District 2,Jared Golden,Bruce Poliquin,142440,138931,n,y,rep
2018,House,Maryland,District 1,Jesse Colvin,Andy Harris,116631,183662,n,y,rep
2018,House,Maryland,District 2,Dutch Ruppersberger,Liz Matory,167201,77782,y,n,dem
2018,House,Maryland,District 3,John Sarbanes,Charles Anthony,202407,82774,y,n,dem
2018,House,Maryland,District 4,Anthony G. Brown,George McDermott,209642,53327,y,n,dem
2018,House,Maryland,District 5,Steny Hoyer,William Devine III,213796,82361,y,n,dem
2018,House,Maryland,District 6,David Trone,Amie Hoeber,163346,105209,n,n,dem
2018,House,Maryland,District 7,Elijah Cummings,Richmond Davis,202345,56266,y,n,dem
2018,House,Maryland,District 8,Jamie Raskin,John Walsh,217679,96525,y,n,dem
2018,House,Massachusetts,District 1,Richard neal,-,211790,0,y,n,dem
2018,House,Massachusetts,District 2,Jim McGovern,Tracy Lovvorn,191332,93391,y,n,dem
2018,House,Massachusetts,District 3,Lori Trahan,Rick Green,173175,93445,n,n,dem
2018,House,Massachusetts,District 4,Joe Kennedy III,-,245289,0,y,n,dem
2018,House,Massachusetts,District 5,Katherine Clark,John Hugo,236243,74856,y,n,dem
2018,House,Massachusetts,District 6,Seth Moulton,Joseph Schneider,217703,104798,y,n,dem
2018,House,Massachusetts,District 7,Ayanna Pressley,-,216557,0,n,n,dem
2018,House,Massachusetts,District 8,Stephen Lynch,-,259159,0,y,n,dem
2018,House,Massachusetts,District 9,Bill Keating,Peter Tedeschi,192347,131463,y,n,dem
2018,House,Michigan,District 1,Matt Morgan,Jack Bergman,145246,187251,n,y,rep
2018,House,Michigan,District 2,Rob Davidson,Bill Huizenga,131254,168970,n,y,rep
2018,House,Michigan,District 3,Cathy Albro,Justin Amash,134185,169107,n,y,rep
2018,House,Michigan,District 4,Jerry Hilliard,John Moolenaar,106540,178510,n,y,rep
2018,House,Michigan,District 5,Dan Kildee,Travis Wines,164502,99265,y,n,dem
2018,House,Michigan,District 6,Matt Longjohn,Fred Upton,134082,147436,n,y,rep
2018,House,Michigan,District 7,Gretchen Driskell,Tim Walberg,136330,158730,n,y,rep
2018,House,Michigan,District 8,Elissa Slotkin,Mike Bishop,172880,159782,n,y,rep
2018,House,Michigan,District 9,Andy Levin,Candius Stearns,181734,112123,n,n,dem
2018,House,Michigan,District 10,Kimberly Bizon,Paul Mitchell,106061,182808,n,y,rep
2018,House,Michigan,District 11,Haley Stevens,Lena Epstein,181912,158463,n,n,rep
2018,House,Michigan,District 12,Debbie Dingell,Jeff Jones,200588,85115,y,n,dem
2018,House,Michigan,District 13,Rashida Tlaib,-,165355,0,n,n,dem
2018,House,Michigan,District 14,Brenda Lqwrence,Marc Herschfus,214334,45899,y,n,dem
2018,House,Minnesota,District 1,Dan Feehan,Jim Hagedorn,144884,146199,n,n,dem
2018,House,Minnesota,District 2,Angie Craig,Jason Lewis,177954,159343,n,y,rep
2018,House,Minnesota,District 3,Dean Phillips,Erik Paulsen,202402,160839,n,y,rep
2018,House,Minnesota,District 4,Betty McCollum,Greg Ryan,216866,97746,y,n,dem
2018,House,Minnesota,District 5,Ilhan Omar,Jennifer Zielinski,267703,74440,n,n,dem
2018,House,Minnesota,District 6,Ian Todd,Tom Emmer,122330,192936,n,y,rep
